pos,track_id,artist_key,artist,title,seed_sim,local_sim_segment,local_sim_hybrid,local_sim_used,step_score,alpha_t_used
13,7ec6ddc4cb46a94fde8e32b94964c983,cola,Cola,Tracing Hallmarks,0.5686961178068813,0.7372912101145217,0.719311165362913,0.7372912101145217,0.6558616914873547,0.49952978056426334
14,10a40cc1721e884761b99bec17dd4b56,faye webster,Faye Webster,Cheers,0.5698798451664195,0.7249861265586621,0.6625398793327606,0.7249861265586621,0.6437698821758597,0.4869905956112853
15,40b2a14ada9ee4e2a9ece91014328b79,kurt vile,Kurt Vile,Bottle It In,0.6942079632218973,0.599531680482984,0.687270800722851,0.599531680482984,0.6191572036582023,0.4744514106583072
16,3a3860d5a84a167e61afdc2a2d2f1963,andy shauf,Andy Shauf,Wasted On You,0.5677365877561141,0.6969055056545881,0.7115600983750051,0.6969055056545881,0.6158519484093403,0.4619122257053292
17,2c3714a584753c35c1e4499775192fb1,boygenius,boygenius,Leonard Cohen,0.5776563586757109,0.6932675289006105,0.7535744597060076,0.6932675289006105,0.6122477358223766,0.45057471264367815
18,f1f70a3dcd9b647525d608da27238ccf,julian lynch,Julian Lynch,Water Wheel Two,0.6037795200130565,0.7029655236484272,0.7311438350038847,0.7029655236484272,0.6353222638547218,0.46206896551724136
19,f805387a992a90b31b904717f13c1f48,spoon,Spoon,Who Makes Your Money,0.5294768839873925,0.7530826342060137,0.774283179622101,0.7530826342060137,0.6296279626373105,0.4735632183908046
20,ac67e4f81ccccea047db6f1b6bad14be,karate,Karate,The Roots And The Ruins,0.5065981846829529,0.8153756830541522,0.6686183711849955,0.8153756830541522,0.6526482917838008,0.4850574712643678
21,b227611af11d949a5ca56b853e3c8853,alex g,Alex G,Molly,0.5687637324153187,0.767886499350385,0.4651923473946409,0.767886499350385,0.6679695366656246,0.496551724137931
22,85713d7e25f141f17f50c5bf7bc9b480,lomelda,Lomelda,Both Mode,0.6292923156254352,0.7281548860494862,0.759890805370866,0.7281548860494862,0.6873791280400187,0.5080459770114942
23,6d5366ca14238fc1845730752b9000d3,mount eerie,Mount Eerie,What?,0.6693763315433549,0.656441530754772,0.7484725260020344,0.656441530754772,0.6631666220092984,0.5195402298850574
24,fd6cf4cb8dd01db912c8cfa609a633a1,blake mills,Blake Mills,May Later,0.5545654015741801,0.6833412344228864,0.7564046682042255,0.6833412344228864,0.6419969066710705,0.5310344827586206
25,87e180e8bfb71d777fadb6980b5a9ac1,ada lea,Ada Lea,writer in ny,0.5223853797543506,0.8304726063205461,0.7653650717341807,0.8304726063205461,0.6971217524351119,0.542528735632184
26,ec545e5f7ba14888abe6be1fe4bb9d9f,interpol,Interpol,"Take You on a Cruise (Live at Palacio de los Deportes, Mexico City, 2005)",0.5175926689286544,0.7651296031179452,0.51666664135558,0.7651296031179452,0.6510665586715942,0.554022988505747
27,5bd9ded75d0b813b809b350bd51d003b,the beets,The Beets,Young Girl,0.618723488555413,0.7443967416902791,0.7781229489235094,0.7443967416902791,0.7248773341850662,0.5655172413793104
28,cc572603091554a8844dce890b474ff2,clap your hands say yeah,Clap Your Hands Say Yeah,Gimmie Some Salt,0.5813382536623981,0.8168229245793227,0.7102817338317106,0.8168229245793227,0.7430091704727917,0.5770114942528736
29,d6e0b66d00bbcc6cd0eb16ae7c53dc3b,wet leg,Wet Leg,Chaise Longue,0.571812486693975,0.8573368663112382,0.8566838848002142,0.8573368663112382,0.7423165245381207,0.5885057471264368
30,18151596c03d5d1aa30946ca10c7b292,pavement,Pavement,"So Stark [Live Brixton Academy, Dec. 14, 1992]",0.6454413021268842,0.6297804467085004,0.6934738246379875,0.6297804467085004,0.6906659822949557,0.6
