pos,track_id,artist_key,artist,title,seed_sim,local_sim_segment,local_sim_hybrid,local_sim_used,step_score,alpha_t_used,repair_applied,repair_iters_used
11,13f7a38b6400e4b24bed0333c4a48c28,wet leg,Wet Leg,don’t speak,0.5768260169775464,0.8123038734784178,0.7671074557797127,0.8123038734784178,0.8374074939168287,0.4334498834498835,0,0
12,b7b20ced3e953fbe614ce7d953551592,elliott smith,Elliott Smith,Rose Parade,0.4568463595415502,0.8522930282490088,0.3061037015711759,0.8522930282490088,0.8040712686021874,0.42179487179487185,0,0
13,a86685519c9440cc9042d1cdc3af134b,the appleseed cast,The Appleseed Cast,Raise the Sails,0.5412270334694514,0.7408164104949091,0.3067338376111418,0.7408164104949091,0.7664686261080177,0.41013986013986015,0,0
14,3624c00212af9dd8103599f77679d84a,clap your hands say yeah,Clap Your Hands Say Yeah,Satan Said Dance,0.5110885179159389,0.807588574254694,0.6568754342327566,0.807588574254694,0.7882141751768951,0.39848484848484855,0,0
15,0dd0056ea713d4f184491a391d608951,90 day men,90 Day Men,Jupiter And Io,0.47220890503614316,0.8385384624892545,0.7436009922276374,0.8385384624892545,0.7857875711782798,0.38682983682983685,0,0
16,37916fa5d51a8c4c87b8413e4e8e9698,c clamp,C-Clamp,Fox and the Hound,0.4251819172301594,0.7841479811687462,0.7663721853084127,0.7841479811687462,0.7300063401655698,0.3751748251748252,0,0
17,8a431dd95cca7767315cc7d19a200ccd,here we go magic,Here We Go Magic,Make Up Your Mind,0.5147627044968003,0.8155768159554614,0.720074944911285,0.8155768159554614,0.7764725319189085,0.36351981351981355,0,0
18,2857da6cca147f133e21ca54ccb52820,spencer radcliffe,Spencer radcliffe,Tell Me Where,0.49252199551895115,0.8240186287164901,0.7836379510041876,0.8240186287164901,0.7677123315972266,0.35186480186480185,0,0
19,c1de240d1d1a1e48f5a89ee5a7937ceb,alex g,Alex G,Break,0.6085638938578184,0.7441381707227822,0.5698454387403152,0.7441381707227822,0.7535222970922907,0.3402097902097902,0,0
20,a73cac758f870deac2a348c513f6dc3d,bill callahan,Bill Callahan,Drover,0.4645492346903708,0.7856361839088724,0.4986097021746569,0.7856361839088724,0.72401158127681,0.32855477855477855,0,0
21,f72c8a8bcb9c2d6483032379e6c41747,valium aggelein,Valium Aggelein,Excerpt From Mount Hamilton,0.3727164223838238,0.804395012639164,0.2977509386583494,0.804395012639164,0.7007507549566472,0.31689976689976695,0,0
22,b0e26de9ef9ca632e106457efa153dc2,hannah cohen,Hannah Cohen,I'll Fake It,0.514531680952385,0.8080406732046161,0.7429216397672135,0.8080406732046161,0.7418825009407529,0.30524475524475525,0,0
23,0189b28e94cbf27cb84cdb054a2324f8,stove,Stove,Duckling Fantasy,0.5425397925815525,0.7637422530406629,0.676413904127304,0.7637422530406629,0.7235576903332211,0.3047008547008547,0,0
24,dbfe1f48bdfbcea55c04be89f5e33ce2,feeble little horse,feeble little horse,18 Kids,0.4155122411432096,0.8291595195790263,0.8104536765954347,0.8291595195790263,0.7276540334388572,0.31324786324786325,0,0
25,2159e4ef2d0c225d46d22f58f9125f1c,blitzen trapper,Blitzen Trapper,Miss Spiritual Tramp,0.5088219349120562,0.867827055082595,0.7499579884227038,0.867827055082595,0.7844325223610006,0.32179487179487176,0,0
26,69f4f4326a6242bdb90c84ed45a13310,ducks ltd,Ducks Ltd.,How Lonely Are You?,0.43340751720189896,0.8002917358206969,0.7010632595703012,0.8002917358206969,0.7233476956791992,0.33034188034188033,0,0
27,5bb8e0bf96ae7829a968f9794acdd92e,the breeders,The Breeders,S.O.S. (2023 Remaster),0.47061096957408927,0.8013844102861202,0.6533775056085728,0.8013844102861202,0.7403154747495578,0.33888888888888885,0,0
28,cc5f558df565c5518b8b5a9dd3e3597e,nada surf,Nada Surf,Hollywood,0.4471043807986746,0.8611572283583752,0.791165601512142,0.8611572283583752,0.7720344488053338,0.3474358974358974,0,0
29,cc572603091554a8844dce890b474ff2,clap your hands say yeah,Clap Your Hands Say Yeah,Gimmie Some Salt,0.5813382536623981,0.8159417181840594,0.8241482825952452,0.8159417181840594,0.6965115118082037,0.35598290598290594,0,0
30,d6e0b66d00bbcc6cd0eb16ae7c53dc3b,wet leg,Wet Leg,Chaise Longue,0.571812486693975,0.8573368663112382,0.8566838848002142,0.8573368663112382,0.7228448766884354,0.3645299145299145,0,0
31,3d559e061bc8f9707f9c41cd0e541add,spoon,Spoon,My Mathematical Mind,0.4753864139814874,0.7802041898457827,0.8058769340743319,0.7802041898457827,0.7454782145082552,0.3730769230769231,0,0
32,6ab4c06050a818e78f1dba8b3d96b041,spirit of the beehive,SPIRIT OF THE BEEHIVE,tapeworm,0.5747880046012004,0.7431973903532706,0.6719670829516085,0.7431973903532706,0.665271292378147,0.3816239316239316,0,0
33,ba664cb4f19e30fb42e1d88e8ba22ebb,elliott smith,Elliott Smith,Everything Reminds Me of Her,0.4425407777277013,0.7190028249784082,0.1498125754582813,0.7190028249784082,0.6040682462970411,0.3901709401709402,0,0
34,915d2cffcc3d706ffd3781b092642e64,destroyer,Destroyer,Thief,0.5541297161899907,0.6377057579105389,0.5818203313401745,0.6377057579105389,0.7035649185092555,0.39871794871794874,0,0
35,7359bf606bbbdb7ebfaad3a63d49fe4c,pavement,Pavement,Flux = Rad,0.6310743391955982,0.6172705753994584,0.2874147018778004,0.6172705753994584,0.6273768090231815,0.40726495726495726,0,0
36,5b9a8d5a8a4eefa40af47551c9b48144,interpol,Interpol,Slow Hands,0.5529097848263083,0.7489673247215801,0.7666407444859676,0.7489673247215801,0.6792868993782464,0.41581196581196583,0,0
37,f5b170abd9697a9c9385607fcd2eed5d,blue smiley,blue smiley,spin,0.5437174586989333,0.690141863377265,0.75584839934657,0.690141863377265,0.6448165011409064,0.4243589743589744,0,0
38,0aff6b8025e82da0d5fb7ab6e2cfb380,jay reatard,Jay Reatard,In the Dark,0.5034031247779007,0.8100322152824098,0.7402197210863507,0.8100322152824098,0.8039455536993662,0.4329059829059829,0,0
39,3d97ab37340af9636b46886debf238d7,bleary eyed,Bleary Eyed,Stars,0.5472679171881071,0.8053315624741907,0.7598392149145415,0.8053315624741907,0.8247919966534522,0.44145299145299144,0,0
40,d2dcf9e30d345198b32bfd06a56a1b52,truth club,Truth Club,Clover,0.5532305396751727,0.7639624687846944,0.877850792612086,0.7639624687846944,0.8073312241246443,0.45,0,0
