pos,track_id,artist_key,artist,title,seed_sim,local_sim_segment,local_sim_hybrid,local_sim_used,step_score,alpha_t_used,repair_applied,repair_iters_used,random_seed_used
22,96fe4b003b1cb75568b0e50491746577,childish gambino,Childish Gambino,39.28,0.43670370756292076,0.78111322357521,0.7469920774318887,0.78111322357521,0.7019694504746469,0.30524475524475525,1,3,123
23,1c39e70a7f959a4b75a534e24a20e1e2,michael jackson,Michael Jackson,She's Out Of My Life,0.516921689949208,0.7753199470641297,0.6874410661346159,0.7753199470641297,0.7226984489794116,0.3047008547008547,1,3,123
24,05af4fd6781f3ea682b8ee28d71bb948,foxes in fiction,Foxes in Fiction,Ontario Sunshine Pt. 2,0.4406323384131764,0.6683678613757842,0.2120320277258923,0.6683678613757842,0.6390478553113074,0.31324786324786325,1,3,123
25,0fcf3c2006e7cf1aff8e9a17fd0c02c1,decisive pink,Decisive Pink,What Where,0.5314985558656621,0.7060272897326211,0.614777529713767,0.7060272897326211,0.6946498834835229,0.32179487179487176,1,3,123
26,cb34b59ce9b3fc941da18b780ead7d3c,prince,Prince,Something in the Water (Does Not Compute),0.6189940996178813,0.7169881139137264,0.24894769865839814,0.7169881139137264,0.734672543136536,0.33034188034188033,1,3,123
27,ff8acf1eb0c96d476953a2775d7264cd,broadcast,Broadcast,Minus 3,0.4054648758714798,0.5660760894287817,0.1531195541142627,0.5660760894287817,0.577053194924826,0.33888888888888885,1,3,123
28,553bd23f3573dde68919ed69bad976a6,genevieve artadi,Genevieve Artadi,Before the Dark,0.5301482489763306,0.7465598108804384,0.5175956042077643,0.7465598108804384,0.732128419185424,0.3474358974358974,1,3,123
29,3feca883ba9d7b7e00ed3da7e3286cb6,mei semones,Mei Semones,Tegami,0.2602873205520805,0.8254753551390417,0.37642011599875874,0.8254753551390417,0.6879430498440587,0.35598290598290594,1,3,123
30,2df3b28a5b4f9b9523684cada387e7f3,beyonc,Beyoncé,Save the Hero,0.43544730582470553,0.7868708340785174,0.12410819257252063,0.7868708340785174,0.7308560696216718,0.3645299145299145,1,3,123
31,5ca96cad12fadd4adf6c61c1831f6775,jockstrap,Jockstrap,What’s It All About?,0.3996952668287508,0.8927542381593265,0.1739094923068344,0.8927542381593265,0.784769623212476,0.3730769230769231,1,3,123
32,7f46e89bd9cec7410132e341eb75ae16,mariah carey,Mariah Carey,Hero (2009 Version),0.4643764615830116,0.7466507737344047,0.12484865527928661,0.7466507737344047,0.7252076352635614,0.3816239316239316,1,3,123
33,80c48acb131c7d0eb3c909c8bb612615,feist,Feist,Now At Last,0.39478979073080295,0.7682644101398329,0.2314320366742427,0.7682644101398329,0.7149941499032259,0.3901709401709402,1,3,123
34,f8d3d2723dead5c33ae6afec329b6c94,st vincent,St. Vincent,"Happy Birthday, Johnny",0.2770305715550005,0.8249193077532647,0.7302241734503054,0.8249193077532647,0.7054086458745296,0.39871794871794874,1,3,123
35,44ead3b026a2d4796501cc3977014597,norah jones,Norah Jones,Turn Me On,0.404676685022353,0.7923604858372655,0.3097645515409433,0.7923604858372655,0.6402269243341124,0.40726495726495726,1,3,123
36,b4a281505b34262330c4a00248ea2d60,mac demarco,Mac DeMarco,Chicago,0.518550023038893,0.5650028554297,0.2678776282263672,0.5650028554297,0.5546210177094623,0.41581196581196583,1,3,123
37,3edb8637817990a0b438bcf058fb9b00,gregory porter,Gregory Porter,Hey Laura,0.2754495230147146,0.6030871384892691,-0.07759895379049303,0.6030871384892691,0.5787417601677545,0.4243589743589744,1,3,123
38,a8e478481f07ce07eb1b377db62f3bf5,tops,Tops,Perfected Steps,0.48249899214695274,0.6129948119454801,0.36279252634330345,0.6129948119454801,0.6766735876138107,0.4329059829059829,1,3,123
39,4f2289550d90590628c4b1032253386a,ariel pink s dark side,Ariel Pink's Dark Side,D'aja Deux,0.5778235716479493,0.6297184992375472,0.14960090243239507,0.6297184992375472,0.7329130437785675,0.44145299145299144,1,3,123
40,caa4dac517b84e08cdfe6a024991be35,prince,Prince,All the Critics Love U in New York,0.595992343524492,0.6176548425437844,0.4078531327947197,0.6176548425437844,0.6387894601122921,0.45,1,3,123
